District,Rainfall (mm),River,River Level,Flood Risk,Flood Occurred,Area affected in (m.ha),Population affected in (million),Damage to Crops,Damage to Houses,Year,Month_sin,Month_cos
8,2.297801040255961,3,4.082392755292508,1.0,1,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,0.8660254037844387,-0.4999999999999998
8,0.4539018309425452,3,3.310952408035253,1.0,1,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,0.8660254037844387,-0.4999999999999998
8,0.0,3,2.092738811724732,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,0.8660254037844387,-0.4999999999999998
8,0.0,3,1.5596533207618726,2.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,0.4999999999999999,-0.8660254037844387
8,0.0,3,1.5009624624144575,2.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,0.4999999999999999,-0.8660254037844387
8,0.0,3,1.2343908385413784,2.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,0.4999999999999999,-0.8660254037844387
8,0.0,3,1.9910018263901,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,1.2246467991473532e-16,-1.0
8,0.3955551864046109,3,1.804673463677467,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,1.2246467991473532e-16,-1.0
8,0.0,3,1.4701286858866505,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,1.2246467991473532e-16,-1.0
8,0.7014184384222215,3,3.2744703903908112,0.0,1,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-0.4999999999999997,-0.8660254037844388
8,0.252852174449218,3,2.37464317584052,0.0,1,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-0.4999999999999997,-0.8660254037844388
8,0.0,3,2.4288191293228256,0.0,1,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-0.4999999999999997,-0.8660254037844388
8,0.0,3,1.5812792690137607,0.0,1,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-0.8660254037844385,-0.5000000000000004
8,1.140570861671662,3,2.946969949542401,0.0,1,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-0.8660254037844385,-0.5000000000000004
8,0.448751666363528,3,1.6371638500849393,0.0,1,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-0.8660254037844385,-0.5000000000000004
8,0.0,3,1.8754598610068165,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-1.0,-1.8369701987210287e-16
8,0.0,3,1.7649911633271007,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-1.0,-1.8369701987210287e-16
8,0.0,3,2.0047502412058744,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-1.0,-1.8369701987210287e-16
8,0.0,3,1.6215578624794065,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-0.8660254037844386,0.5000000000000001
8,0.0,3,1.04030866901992,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-0.8660254037844386,0.5000000000000001
8,1.443361023335037,3,3.428298687517706,1.0,1,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-0.8660254037844386,0.5000000000000001
8,0.0,3,1.055858435447088,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-0.5000000000000004,0.8660254037844384
8,0.1258817668769337,3,1.7793702902164734,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-0.5000000000000004,0.8660254037844384
8,0.0,3,1.7755568448229084,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-0.5000000000000004,0.8660254037844384
8,0.0,3,1.547263942971384,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-2.4492935982947064e-16,1.0
8,0.0,3,1.765288498035989,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-2.4492935982947064e-16,1.0
8,0.0,3,1.4666377072154655,1.0,0,0.5551427889247964,-0.3811475481737481,-0.702207506780303,-2.241753548846956,2009,-2.4492935982947064e-16,1.0
8,1.6290331532215476,3,3.697033615344361,1.0,1,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,0.4999999999999999,0.8660254037844387
8,0.0,3,2.3833771127622843,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,0.4999999999999999,0.8660254037844387
8,0.0,3,2.5347681392197083,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,0.4999999999999999,0.8660254037844387
8,0.0,3,1.168919388224999,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,0.8660254037844386,0.5000000000000001
8,0.8384562975791193,3,2.583669741782231,1.0,1,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,0.8660254037844386,0.5000000000000001
8,0.0,3,2.01346042761293,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,0.8660254037844386,0.5000000000000001
8,0.0,3,2.315609979097257,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,1.0,6.123233995736766e-17
8,0.8108346433847757,3,2.403575408007923,1.0,1,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,1.0,6.123233995736766e-17
8,0.3921644562072891,3,2.7759948393065814,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,1.0,6.123233995736766e-17
8,0.2486776108764544,3,1.7645724752210854,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,0.8660254037844387,-0.4999999999999998
8,0.3905170380399648,3,2.4970061763852707,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,0.8660254037844387,-0.4999999999999998
8,1.7334191655692532,3,3.140474464862324,1.0,1,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,0.8660254037844387,-0.4999999999999998
8,1.5712121590397938,3,3.34453687775754,1.0,1,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,0.4999999999999999,-0.8660254037844387
8,0.0,3,1.1569834483825887,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,0.4999999999999999,-0.8660254037844387
8,1.1222442372598258,3,4.023094837106475,1.0,1,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,0.4999999999999999,-0.8660254037844387
8,0.1260871738786052,3,2.441533478617373,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,1.2246467991473532e-16,-1.0
8,0.2188292749816844,3,1.7050268452734212,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,1.2246467991473532e-16,-1.0
8,0.0,3,1.3176952904576211,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,1.2246467991473532e-16,-1.0
8,0.0,3,1.767302022951879,2.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-0.4999999999999997,-0.8660254037844388
8,0.0,3,1.4988110193682287,2.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-0.4999999999999997,-0.8660254037844388
8,0.4974887588865122,3,2.6337628175833294,2.0,1,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-0.4999999999999997,-0.8660254037844388
8,0.7162289790778399,3,3.562570097568214,0.0,1,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-0.8660254037844385,-0.5000000000000004
8,0.0,3,1.6371450086000077,0.0,1,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-0.8660254037844385,-0.5000000000000004
8,0.0,3,1.3146092112840653,0.0,1,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-0.8660254037844385,-0.5000000000000004
8,0.7194708457555418,3,2.16417861552809,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-1.0,-1.8369701987210287e-16
8,0.0,3,2.696300858038721,1.0,1,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-1.0,-1.8369701987210287e-16
8,0.4052325579220316,3,2.7851345457609327,1.0,1,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-1.0,-1.8369701987210287e-16
8,0.090649101059129,3,1.3514503513875713,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-0.8660254037844386,0.5000000000000001
8,0.0830449125195628,3,2.074122845149427,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-0.8660254037844386,0.5000000000000001
8,0.0,3,2.2233723108572483,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-0.8660254037844386,0.5000000000000001
8,0.0,3,1.1704738389696796,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-0.5000000000000004,0.8660254037844384
8,0.0,3,2.7526463342517813,1.0,1,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-0.5000000000000004,0.8660254037844384
8,0.3748459663431578,3,1.968907291433074,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-0.5000000000000004,0.8660254037844384
8,0.0,3,2.566430601158314,1.0,0,-0.7415269550790099,-0.7084596353127215,-0.8645278940305252,-0.18402232842921193,2010,-2.4492935982947064e-16,1.0
